Registrant,Money,Foreign_Agency,Num_Reg,Year,Country,Year2,
"Alston & Bird, LLP ",100000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201101,Taiwan,2011,
"Alston & Bird, LLP ",120000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201102,Taiwan,2011,
"Alston & Bird, LLP ",120000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201201,Taiwan,2012,
"Alston & Bird, LLP ",120000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201202,Taiwan,2012,
"Alston & Bird, LLP ",120000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201301,Taiwan,2013,
"Alston & Bird, LLP ",100000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201302,Taiwan,2013,
"Alston & Bird, LLP ",140000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201401,Taiwan,2014,
"Alston & Bird, LLP ",80000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201402,Taiwan,2014,
"Alston & Bird, LLP ",160000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201501,Taiwan,2015,
"Alston & Bird, LLP ",120000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201502,Taiwan,2015,
"Alston & Bird, LLP ",60000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201601,Taiwan,2016,
"Alston & Bird, LLP ",140000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201602,Taiwan,2016,
"Alston & Bird, LLP ",150000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201701,Taiwan,2017,
"Alston & Bird, LLP ",125000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5549,201702,Taiwan,2017,
"Capitol Hill Strategies, LLC ",90000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,6009,201101,Taiwan,2011,
"Capitol Hill Strategies, LLC ",84000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,6009,201102,Taiwan,2011,
"City of Osaka, Chicago Office ",74623.60,City of Osaka Municipal Government ,5979,201101,Japan,2011,
"City of Osaka, Chicago Office ",184397.95,City of Osaka Municipal Government ,5979,201102,Japan,2011,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",20000.00,Embassy of Japan ,3492,201101,Japan,2011,
"Podesta Group, Inc. ",105000.00,Embassy of Japan ,5926,201101,Japan,2011,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",72654.32,Embassy of Japan ,3492,201102,Japan,2011,
"Podesta Group, Inc. ",105000.00,Embassy of Japan ,5926,201102,Japan,2011,
Fukuoka Center for Overseas Commerce in America ,88646.25,Fukuoka Prefectural Government ,5591,201101,Japan,2011,
Fukuoka Center for Overseas Commerce in America ,145670.24,Fukuoka Prefectural Government ,5591,201102,Japan,2011,
"Garvey, Schubert & Barer ",20781.25,Global Guardian Trust ,3047,201101,Japan,2011,
"Hecht, Spencer & Associates, Inc. ",75000.00,Government of Japan ,5451,201101,Japan,2011,
Hogan Lovells US LLP ,168793.84,Government of Japan ,2244,201101,Japan,2011,
"Hecht, Spencer & Associates, Inc. ",105000.00,Government of Japan ,5451,201102,Japan,2011,
Hogan Lovells US LLP ,406281.65,Government of Japan ,2244,201102,Japan,2011,
Butterfield Carter and Associates ,17405.00,Institute of Cetacean Research ,5398,201101,Japan,2011,
Butterfield Carter and Associates ,24550.00,Institute of Cetacean Research ,5398,201102,Japan,2011,
Maseng Communications ,32959.34,"Japan Automobile Manufacturers' Association, Inc. ",4660,201101,Japan,2011,
Maseng Communications ,34939.00,"Japan Automobile Manufacturers' Association, Inc. ",4660,201102,Japan,2011,
"Global Policy Group, Inc. ",47750.00,Japan External Trade Organization (JETRO) ,5290,201101,Japan,2011,
"JETRO, Atlanta ",258202.00,Japan External Trade Organization (JETRO) ,4069,201101,Japan,2011,
"JETRO, Chicago ",810000.96,Japan External Trade Organization (JETRO) ,1850,201101,Japan,2011,
"JETRO, Houston ",946665.94,Japan External Trade Organization (JETRO) ,2277,201101,Japan,2011,
"JETRO, New York ",9351393.00,Japan External Trade Organization (JETRO) ,1643,201101,Japan,2011,
"JETRO, Los Angeles ",918500.00,Japan External Trade Organization (JETRO) ,1833,201101,Japan,2011,
"JETRO, San Francisco ",1163100.00,Japan External Trade Organization (JETRO) ,1813,201101,Japan,2011,
"KWR International, Inc. ",40000.00,Japan External Trade Organization (JETRO) ,5119,201101,Japan,2011,
"Quinn Gillespie & Associates, LLC ",30000.00,Japan External Trade Organization (JETRO) ,5753,201101,Japan,2011,
"Parter International, Inc. ",34750.00,Consulate General of Republic of Korea ,6142,201301,South Korea,2013,
"Capitol Hill Strategies, LLC ",48000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,6009,201201,Taiwan,2012,
"Capitol Hill Strategies, LLC ",48000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,6009,201202,Taiwan,2012,
"Cedar Group, LLC ",18000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5850,201101,Taiwan,2011,
"Cedar Group, LLC ",18000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5850,201102,Taiwan,2011,
"Cedar Group, LLC ",6000.00,Taipei Economic and Cultural Representative Office in the United States (TECRO) ,5850,201201,Taiwan,2012,
"Crowell & Moring International, Ltd. ",202349.37,Board of Foreign Trade (BOFT),3988,201101,Taiwan,2011,
"Crowell & Moring International, Ltd. ",320611.02,Board of Foreign Trade (BOFT),3988,201102,Taiwan,2011,
"Crowell & Moring International, Ltd. ",101247.73,Board of Foreign Trade (BOFT),3988,201201,Taiwan,2012,
"Crowell & Moring International, Ltd. ",304392.15,Board of Foreign Trade (BOFT),3988,201202,Taiwan,2012,
"Crowell & Moring International, Ltd. ",117959.83,Board of Foreign Trade (BOFT),3988,201301,Taiwan,2013,
"Crowell & Moring International, Ltd. ",206296.69,Board of Foreign Trade (BOFT),3988,201302,Taiwan,2013,
"Crowell & Moring International, Ltd. ",236799.45,Board of Foreign Trade (BOFT),3988,201401,Taiwan,2014,
"Crowell & Moring International, Ltd. ",225959.44,Board of Foreign Trade (BOFT),3988,201402,Taiwan,2014,
"Crowell & Moring International, Ltd. ",215452.15,Board of Foreign Trade (BOFT),3988,201501,Taiwan,2015,
"Crowell & Moring International, Ltd. ",215368.80,Board of Foreign Trade (BOFT),3988,201502,Taiwan,2015,
"Washington Research & Analysis, LLC ",36200.00,Japan External Trade Organization (JETRO) ,6013,201101,Japan,2011,
"Global Policy Group, Inc. ",19125.00,Japan External Trade Organization (JETRO) ,5290,201102,Japan,2011,
"JETRO, Atlanta ",270764.00,Japan External Trade Organization (JETRO) ,4069,201102,Japan,2011,
"JETRO, Chicago ",603217.20,Japan External Trade Organization (JETRO) ,1850,201102,Japan,2011,
"JETRO, Houston ",482002.60,Japan External Trade Organization (JETRO) ,2277,201102,Japan,2011,
"JETRO, New York ",5509248.00,Japan External Trade Organization (JETRO) ,1643,201102,Japan,2011,
"JETRO, Los Angeles ",712100.00,Japan External Trade Organization (JETRO) ,1833,201102,Japan,2011,
"JETRO, San Francisco ",520000.00,Japan External Trade Organization (JETRO) ,1813,201102,Japan,2011,
"KWR International, Inc. ",11500.00,Japan External Trade Organization (JETRO) ,5119,201102,Japan,2011,
"MITA Group, Inc. ",30000.00,Japan External Trade Organization (JETRO) ,5741,201102,Japan,2011,
"Washington Research & Analysis, LLC ",25200.00,Japan External Trade Organization (JETRO) ,6013,201102,Japan,2011,
"Hastings, Jay Donald ",33845.34,Japan Fisheries Association ,2867,201101,Japan,2011,
"Hastings, Jay Donald ",24679.61,Japan Fisheries Association ,2867,201102,Japan,2011,
Japan National Tourism Organization ,486731.31,Japan National Tourist Organization ,769,201101,Japan,2011,
Japan National Tourism Organization ,589138.43,Japan National Tourist Organization ,769,201102,Japan,2011,
"NHK Cosmomedia America, Inc. ",1380440.30,JNG Shareholders Group ,4490,201101,Japan,2011,
"NHK Cosmomedia America, Inc. ",1443345.15,JNG Shareholders Group ,4490,201102,Japan,2011,
Kobe Trade Information Office ,937.83,Kobe Municipal Government ,2438,201101,Japan,2011,
Kobe Trade Information Office ,12598.42,Kobe Municipal Government ,2438,201102,Japan,2011,
Manufactured Imports and Investment Promotion Organization (MIPRO) ,283079.70,Manufactured Imports and Investment Promotion Organization (MIPRO) ,3196,201101,Japan,2011,
Manufactured Imports and Investment Promotion Organization (MIPRO) ,293016.40,Manufactured Imports and Investment Promotion Organization (MIPRO) ,3196,201102,Japan,2011,
"Osaka University, San Francisco Office ",65418.41,Osaka University ,5631,201101,Japan,2011,
"Osaka University, San Francisco Office ",204997.98,Osaka University ,5631,201102,Japan,2011,
"City of Osaka, Chicago Office ",82364.27,City of Osaka Municipal Government ,5979,201201,Japan,2012,
"City of Osaka, Chicago Office ",172817.05,City of Osaka Municipal Government ,5979,201202,Japan,2012,
"Park Strategies, LLC ",5500.00,Consulate General of Japan,5908,201202,Japan,2012,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",300000.00,Embassy of Japan ,3492,201201,Japan,2012,
"Podesta Group, Inc. ",90000.00,Embassy of Japan ,5926,201201,Japan,2012,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",300000.00,Embassy of Japan ,3492,201202,Japan,2012,
Friedlander Group ,5600.00,Embassy of Japan ,6097,201202,Japan,2012,
"Podesta Group, Inc. ",105000.00,Embassy of Japan ,5926,201202,Japan,2012,
Fukuoka Center for Overseas Commerce in America ,167385.79,Fukuoka Prefectural Government ,5591,201201,Japan,2012,
Fukuoka Center for Overseas Commerce in America ,84419.54,Fukuoka Prefectural Government ,5591,201202,Japan,2012,
"Garvey, Schubert & Barer ",24658.26,Global Guardian Trust ,3047,201201,Japan,2012,
"Garvey, Schubert & Barer ",18985.41,Global Guardian Trust ,3047,201202,Japan,2012,
"Hecht, Spencer & Associates, Inc. ",90000.00,Government of Japan ,5451,201201,Japan,2012,
Hogan Lovells US LLP ,162709.25,Government of Japan ,2244,201201,Japan,2012,
"Hecht, Spencer & Associates, Inc. ",105000.00,Government of Japan ,5451,201202,Japan,2012,
Hogan Lovells US LLP ,255981.80,Government of Japan ,2244,201202,Japan,2012,
Butterfield Carter and Associates ,51961.60,Institute of Cetacean Research ,5398,201201,Japan,2012,
Butterfield Carter and Associates ,27005.00,Institute of Cetacean Research ,5398,201202,Japan,2012,
Maseng Communications ,37939.00,"Japan Automobile Manufacturers' Association, Inc. ",4660,201201,Japan,2012,
Maseng Communications ,34928.83,"Japan Automobile Manufacturers' Association, Inc. ",4660,201202,Japan,2012,
"Global Policy Group, Inc. ",28325.00,Japan External Trade Organization (JETRO) ,5290,201201,Japan,2012,
"JETRO, Atlanta ",256016.00,Japan External Trade Organization (JETRO) ,4069,201201,Japan,2012,
"JETRO, Chicago ",802800.00,Japan External Trade Organization (JETRO) ,1850,201201,Japan,2012,
"JETRO, Houston ",615120.70,Japan External Trade Organization (JETRO) ,2277,201201,Japan,2012,
"JETRO, New York ",8518127.00,Japan External Trade Organization (JETRO) ,1643,201201,Japan,2012,
"JETRO, Los Angeles ",856300.00,Japan External Trade Organization (JETRO) ,1833,201201,Japan,2012,
"JETRO, San Francisco ",1086600.00,Japan External Trade Organization (JETRO) ,1813,201201,Japan,2012,
"MITA Group, Inc. ",45000.00,Japan External Trade Organization (JETRO) ,5741,201201,Japan,2012,
"Washington Research & Analysis, LLC ",12600.00,Japan External Trade Organization (JETRO) ,6013,201201,Japan,2012,
"Global Policy Group, Inc. ",19425.00,Japan External Trade Organization (JETRO) ,5290,201202,Japan,2012,
"JETRO, Atlanta ",242707.00,Japan External Trade Organization (JETRO) ,4069,201202,Japan,2012,
"JETRO, Chicago ",652700.00,Japan External Trade Organization (JETRO) ,1850,201202,Japan,2012,
"JETRO, Houston ",443112.93,Japan External Trade Organization (JETRO) ,2277,201202,Japan,2012,
"JETRO, New York ",4610314.00,Japan External Trade Organization (JETRO) ,1643,201202,Japan,2012,
"JETRO, Los Angeles ",1016690.92,Japan External Trade Organization (JETRO) ,1833,201202,Japan,2012,
"JETRO, San Francisco ",925300.00,Japan External Trade Organization (JETRO) ,1813,201202,Japan,2012,
"KWR International, Inc. ",23000.00,Japan External Trade Organization (JETRO) ,5119,201202,Japan,2012,
"MITA Group, Inc. ",30000.00,Japan External Trade Organization (JETRO) ,5741,201202,Japan,2012,
"Washington Research & Analysis, LLC ",13500.00,Japan External Trade Organization (JETRO) ,6013,201202,Japan,2012,
"Hastings, Jay Donald ",24682.59,Japan Fisheries Association ,2867,201201,Japan,2012,
"Hastings, Jay Donald ",24572.26,Japan Fisheries Association ,2867,201202,Japan,2012,
Japan National Tourism Organization ,676525.82,Japan National Tourist Organization ,769,201201,Japan,2012,
Japan National Tourism Organization ,696588.54,Japan National Tourist Organization ,769,201202,Japan,2012,
"NHK Cosmomedia America, Inc. ",1502149.00,JNG Shareholders Group ,4490,201201,Japan,2012,
"NHK Cosmomedia America, Inc. ",1494197.08,JNG Shareholders Group ,4490,201202,Japan,2012,
Kobe Trade Information Office ,120193.82,Kobe Municipal Government ,2438,201201,Japan,2012,
Kobe Trade Information Office ,37337.49,Kobe Municipal Government ,2438,201202,Japan,2012,
Manufactured Imports and Investment Promotion Organization (MIPRO) ,251791.52,Manufactured Imports and Investment Promotion Organization (MIPRO) ,3196,201201,Japan,2012,
Manufactured Imports and Investment Promotion Organization (MIPRO) ,109424.84,Manufactured Imports and Investment Promotion Organization (MIPRO) ,3196,201202,Japan,2012,
"Osaka University, San Francisco Office ",38407.38,Osaka University ,5631,201201,Japan,2012,
"Osaka University, San Francisco Office ",130635.99,Osaka University ,5631,201202,Japan,2012,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",370000.00,Embassy of Japan ,3492,201301,Japan,2013,
Friedlander Group ,14933.00,Embassy of Japan ,6097,201301,Japan,2013,
"Podesta Group, Inc. ",75000.00,Embassy of Japan ,5926,201301,Japan,2013,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",300000.00,Embassy of Japan ,3492,201302,Japan,2013,
"DCI Group, LLC ",25000.00,Embassy of Japan ,6140,201302,Japan,2013,
Friedlander Group ,5600.00,Embassy of Japan ,6097,201302,Japan,2013,
"Podesta Group, Inc. ",105000.00,Embassy of Japan ,5926,201302,Japan,2013,
"Reed, T. Dean ",107475.00,Embassy of Japan ,5044,201302,Japan,2013,
Fukuoka Center for Overseas Commerce in America ,76772.56,Fukuoka Prefectural Government ,5591,201301,Japan,2013,
Fukuoka Center for Overseas Commerce in America ,98522.51,Fukuoka Prefectural Government ,5591,201302,Japan,2013,
"Garvey, Schubert & Barer ",19014.59,Global Guardian Trust ,3047,201301,Japan,2013,
"Garvey, Schubert & Barer ",18686.67,Global Guardian Trust ,3047,201302,Japan,2013,
"Hecht, Spencer & Associates, Inc. ",90000.00,Government of Japan ,5451,201301,Japan,2013,
Hogan Lovells US LLP ,177441.15,Government of Japan ,2244,201301,Japan,2013,
"Hecht, Spencer & Associates, Inc. ",105000.00,Government of Japan ,5451,201302,Japan,2013,
Hogan Lovells US LLP ,346157.92,Government of Japan ,2244,201302,Japan,2013,
Butterfield Carter and Associates ,25740.00,Institute of Cetacean Research ,5398,201301,Japan,2013,
Butterfield Carter and Associates ,18305.00,Institute of Cetacean Research ,5398,201302,Japan,2013,
Maseng Communications ,37939.00,"Japan Automobile Manufacturers' Association, Inc. ",4660,201301,Japan,2013,
Maseng Communications ,35739.00,"Japan Automobile Manufacturers' Association, Inc. ",4660,201302,Japan,2013,
"Global Policy Group, Inc. ",19425.00,Japan External Trade Organization (JETRO) ,5290,201301,Japan,2013,
"JETRO, Atlanta ",198486.00,Japan External Trade Organization (JETRO) ,4069,201301,Japan,2013,
"JETRO, Chicago ",856400.00,Japan External Trade Organization (JETRO) ,1850,201301,Japan,2013,
"JETRO, Houston ",527250.80,Japan External Trade Organization (JETRO) ,2277,201301,Japan,2013,
"JETRO, New York ",6918347.00,Japan External Trade Organization (JETRO) ,1643,201301,Japan,2013,
"JETRO, Los Angeles ",530700.00,Japan External Trade Organization (JETRO) ,1833,201301,Japan,2013,
"JETRO, San Francisco ",771100.00,Japan External Trade Organization (JETRO) ,1813,201301,Japan,2013,
"Washington Research & Analysis, LLC ",18000.00,Japan External Trade Organization (JETRO) ,6013,201301,Japan,2013,
"Global Policy Group, Inc. ",19425.00,Japan External Trade Organization (JETRO) ,5290,201302,Japan,2013,
"JETRO, Atlanta ",204638.00,Japan External Trade Organization (JETRO) ,4069,201302,Japan,2013,
"JETRO, Chicago ",1062700.00,Japan External Trade Organization (JETRO) ,1850,201302,Japan,2013,
"JETRO, Houston ",330205.64,Japan External Trade Organization (JETRO) ,2277,201302,Japan,2013,
"JETRO, New York ",12803065.00,Japan External Trade Organization (JETRO) ,1643,201302,Japan,2013,
"JETRO, Los Angeles ",1427900.00,Japan External Trade Organization (JETRO) ,1833,201302,Japan,2013,
"JETRO, San Francisco ",1.00,Japan External Trade Organization (JETRO) ,1813,201302,Japan,2013,
"KWR International, Inc. ",11500.00,Japan External Trade Organization (JETRO) ,5119,201302,Japan,2013,
"Washington Research & Analysis, LLC ",22500.00,Japan External Trade Organization (JETRO) ,6013,201302,Japan,2013,
"Hastings, Jay Donald ",22380.03,Japan Fisheries Association ,2867,201301,Japan,2013,
"Hastings, Jay Donald ",19969.10,Japan Fisheries Association ,2867,201302,Japan,2013,
Japan National Tourism Organization ,967062.07,Japan National Tourist Organization ,769,201301,Japan,2013,
Japan National Tourism Organization ,618207.78,Japan National Tourist Organization ,769,201302,Japan,2013,
"NHK Cosmomedia America, Inc. ",1558839.44,JNG Shareholders Group ,4490,201301,Japan,2013,
"NHK Cosmomedia America, Inc. ",1446214.00,JNG Shareholders Group ,4490,201302,Japan,2013,
Kobe Trade Information Office ,59676.10,Kobe Municipal Government ,2438,201301,Japan,2013,
Kobe Trade Information Office ,126392.90,Kobe Municipal Government ,2438,201302,Japan,2013,
Manufactured Imports and Investment Promotion Organization (MIPRO) ,208748.37,Manufactured Imports and Investment Promotion Organization (MIPRO) ,3196,201301,Japan,2013,
Manufactured Imports and Investment Promotion Organization (MIPRO) ,194073.40,Manufactured Imports and Investment Promotion Organization (MIPRO) ,3196,201302,Japan,2013,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",200000.00,Embassy of the Republic of Korea,3492,201101,South Korea,2011,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",301005.79,Embassy of the Republic of Korea,3492,201102,South Korea,2011,
"Daniel J. Edelman, Inc. ",220000.00,Embassy of the Republic of Korea,3634,201102,South Korea,2011,
"Fierce, Isakowitz, & Blalock ",225000.00,Embassy of the Republic of Korea,5950,201102,South Korea,2011,
Fratelli Group ,207643.06,Embassy of the Republic of Korea,5867,201102,South Korea,2011,
"Glover Park Group, LLC ",199998.00,Embassy of the Republic of Korea,5666,201102,South Korea,2011,
"Podesta Group, Inc. ",128001.59,Embassy of the Republic of Korea,5926,201102,South Korea,2011,
Singer Bonjean Strategies ,81999.00,Embassy of the Republic of Korea,6001,201102,South Korea,2011,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",30000.00,Embassy of the Republic of Korea,3492,201201,South Korea,2012,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",165000.00,Embassy of the Republic of Korea,3492,201302,South Korea,2013,
"Covington & Burling, LLP ",120000.00,Embassy of the Republic of Korea,5852,201302,South Korea,2013,
"Fierce, Isakowitz, & Blalock ",140000.00,Embassy of the Republic of Korea,5950,201302,South Korea,2013,
"Gephardt Group Government Affairs, LLC ",150000.00,Embassy of the Republic of Korea,5874,201302,South Korea,2013,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",291785.71,Embassy of the Republic of Korea,3492,201401,South Korea,2014,
"Covington & Burling, LLP ",90000.00,Embassy of the Republic of Korea,5852,201401,South Korea,2014,
"Fierce, Isakowitz, & Blalock ",90000.00,Embassy of the Republic of Korea,5950,201401,South Korea,2014,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",223709.67,Embassy of the Republic of Korea,3492,201402,South Korea,2014,
"Chadwick, Kirsten A./Fierce, Isakowitz, & Blalock ",200000.00,Embassy of the Republic of Korea,5950,201402,South Korea,2014,
"Cornerstone Government Affairs, LLC ",205357.14,Embassy of the Republic of Korea,6211,201402,South Korea,2014,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",175000.00,Embassy of the Republic of Korea,3492,201501,South Korea,2015,
"Podesta Group, Inc. ",366000.00,Embassy of the Republic of Korea,5926,201502,South Korea,2015,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",336000.00,Embassy of the Republic of Korea,3492,201602,South Korea,2016,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",168000.00,Embassy of the Republic of Korea,3492,201702,South Korea,2017,
Cornerstone Government Affairs ,168000.00,Embassy of the Republic of Korea,6401,201702,South Korea,2017,
"Daniel J. Edelman, Inc. ",230000.00,Embassy of the Republic of Korea ,3634,201101,South Korea,2011,
"Fierce, Isakowitz, & Blalock ",315000.00,Embassy of the Republic of Korea ,5950,201101,South Korea,2011,
Fratelli Group ,229358.87,Embassy of the Republic of Korea ,5867,201101,South Korea,2011,
"Glover Park Group, LLC ",166665.00,Embassy of the Republic of Korea ,5666,201101,South Korea,2011,
Singer Bonjean Strategies ,99996.00,Embassy of the Republic of Korea ,6001,201101,South Korea,2011,
"Thomas Capitol Partners, Inc. ",345000.00,Embassy of the Republic of Korea ,5982,201101,South Korea,2011,
"Daniel J. Edelman, Inc. ",258000.00,Embassy of the Republic of Korea ,3634,201201,South Korea,2012,
"Glover Park Group, LLC ",99999.00,Embassy of the Republic of Korea ,5666,201201,South Korea,2012,
"Pillsbury Winthrop Shaw Pittman, LLP ",90000.00,Embassy of the Republic of Korea ,5198,201201,South Korea,2012,
"Podesta Group, Inc. ",80000.00,Embassy of the Republic of Korea ,5926,201201,South Korea,2012,
"Ruder Finn, Inc. ",155000.00,Embassy of the Republic of Korea ,1481,201201,South Korea,2012,
Singer Bonjean Strategies ,83332.00,Embassy of the Republic of Korea ,6001,201201,South Korea,2012,
"Thomas Capitol Partners, Inc. ",300000.00,Embassy of the Republic of Korea ,5982,201201,South Korea,2012,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",240000.00,Embassy of the Republic of Korea ,3492,201202,South Korea,2012,
"Fierce, Isakowitz, & Blalock ",150000.00,Embassy of the Republic of Korea ,5950,201202,South Korea,2012,
"Nickles Group, LLC ",150000.00,Embassy of the Republic of Korea ,6089,201202,South Korea,2012,
"Pillsbury Winthrop Shaw Pittman, LLP ",150000.00,Embassy of the Republic of Korea ,5198,201202,South Korea,2012,
"Podesta Group, Inc. ",120206.00,Embassy of the Republic of Korea ,5926,201202,South Korea,2012,
"Ruder Finn, Inc. ",284000.00,Embassy of the Republic of Korea ,1481,201202,South Korea,2012,
Singer Bonjean Strategies ,100000.00,Embassy of the Republic of Korea ,6001,201202,South Korea,2012,
"Thomas Capitol Partners, Inc. ",300000.00,Embassy of the Republic of Korea ,5982,201202,South Korea,2012,
