Registrant,Money,Foreign_Agency,Num_Reg,Year,Country,Year2,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",175000.00,Embassy of the Republic of Korea ,3492,201301,South Korea,2013,
"Covington & Burling, LLP ",90000.00,Embassy of the Republic of Korea ,5852,201301,South Korea,2013,
"Fierce, Isakowitz, & Blalock ",195000.00,Embassy of the Republic of Korea ,5950,201301,South Korea,2013,
"Nickles Group, LLC ",50000.00,Embassy of the Republic of Korea ,6089,201301,South Korea,2013,
"Pillsbury Winthrop Shaw Pittman, LLP ",270000.00,Embassy of the Republic of Korea ,5198,201301,South Korea,2013,
"Ruder Finn, Inc. ",174217.00,Embassy of the Republic of Korea ,1481,201301,South Korea,2013,
Singer Bonjean Strategies ,50000.00,Embassy of the Republic of Korea ,6001,201301,South Korea,2013,
"Thomas Capitol Partners, Inc. ",270000.00,Embassy of the Republic of Korea ,5982,201301,South Korea,2013,
"Thomas Capitol Partners, Inc. ",60000.00,Embassy of the Republic of Korea ,5982,201301,South Korea,2013,
"Nickles Group, LLC ",150000.00,Embassy of the Republic of Korea ,6089,201302,South Korea,2013,
"Pillsbury Winthrop Shaw Pittman, LLP ",270000.00,Embassy of the Republic of Korea ,5198,201302,South Korea,2013,
"Ruder Finn, Inc. ",120000.00,Embassy of the Republic of Korea ,1481,201302,South Korea,2013,
"Thomas Capitol Partners, Inc. ",240000.00,Embassy of the Republic of Korea ,5982,201302,South Korea,2013,
"Finn Partners, Inc. ",24000.00,Embassy of the Republic of Korea ,6212,201401,South Korea,2014,
"Gephardt Group Government Affairs, LLC ",50000.00,Embassy of the Republic of Korea ,5874,201401,South Korea,2014,
"Nickles Group, LLC ",200000.00,Embassy of the Republic of Korea ,6089,201401,South Korea,2014,
"Pillsbury Winthrop Shaw Pittman, LLP ",539837.42,Embassy of the Republic of Korea ,5198,201401,South Korea,2014,
"Thomas Capitol Partners, Inc. ",240000.00,Embassy of the Republic of Korea ,5982,201401,South Korea,2014,
"Finn Partners, Inc. ",15098611.42,Embassy of the Republic of Korea ,6212,201402,South Korea,2014,
"Kasowitz, Benson, Torres and Friedman, LLP ",52000.00,Embassy of the Republic of Korea ,6197,201402,South Korea,2014,
"Nickles Group, LLC ",150000.00,Embassy of the Republic of Korea ,6089,201402,South Korea,2014,
"Pillsbury Winthrop Shaw Pittman, LLP ",370000.00,Embassy of the Republic of Korea ,5198,201402,South Korea,2014,
"Podesta Group, Inc. ",21200.00,Embassy of the Republic of Korea ,5926,201402,South Korea,2014,
"Podesta Group, Inc. ",221980.00,Embassy of the Republic of Korea ,5926,201402,South Korea,2014,
Singer Bonjean Strategies ,175000.00,Embassy of the Republic of Korea ,6216,201402,South Korea,2014,
"Thomas Capitol Partners, Inc. ",253200.00,Embassy of the Republic of Korea ,5982,201402,South Korea,2014,
"BGR Government Affairs, LLC ",143709.00,Embassy of the Republic of Korea ,5430,201501,South Korea,2015,
"Cornerstone Government Affairs, LLC ",90000.00,Embassy of the Republic of Korea ,6211,201501,South Korea,2015,
"Finn Partners, Inc. ",165000.00,Embassy of the Republic of Korea ,6212,201501,South Korea,2015,
"Kasowitz, Benson, Torres and Friedman, LLP ",60000.00,Embassy of the Republic of Korea ,6197,201501,South Korea,2015,
"Nickles Group, LLC ",137400.00,Embassy of the Republic of Korea ,6089,201501,South Korea,2015,
"Pillsbury Winthrop Shaw Pittman, LLP ",350000.00,Embassy of the Republic of Korea ,5198,201501,South Korea,2015,
"Podesta Group, Inc. ",36990.00,Embassy of the Republic of Korea ,5926,201501,South Korea,2015,
"Porter Gordon Silver Communications, LLC ",113000.00,Embassy of the Republic of Korea ,6251,201501,South Korea,2015,
Singer Bonjean Strategies ,25000.00,Embassy of the Republic of Korea ,6216,201501,South Korea,2015,
"Thomas Capitol Partners, Inc. ",276000.00,Embassy of the Republic of Korea ,5982,201501,South Korea,2015,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",175000.00,Embassy of the Republic of Korea ,3492,201502,South Korea,2015,
"BGR Government Affairs, LLC ",156000.00,Embassy of the Republic of Korea ,5430,201502,South Korea,2015,
"Finn Partners, Inc. ",150000.00,Embassy of the Republic of Korea ,6212,201502,South Korea,2015,
"Harbinger Strategies, LLC ",180000.00,Embassy of the Republic of Korea ,6275,201502,South Korea,2015,
"Nickles Group, LLC ",124800.00,Embassy of the Republic of Korea ,6089,201502,South Korea,2015,
"Pillsbury Winthrop Shaw Pittman, LLP ",250000.00,Embassy of the Republic of Korea ,5198,201502,South Korea,2015,
"Thomas Capitol Partners, Inc. ",276000.00,Embassy of the Republic of Korea ,5982,201502,South Korea,2015,
"Thomas Capitol Partners, Inc. ",60900.00,Embassy of the Republic of Korea ,5982,201502,South Korea,2015,
"TwinLogic Strategies, LLP ",150000.00,Embassy of the Republic of Korea ,6276,201502,South Korea,2015,
"BGR Government Affairs, LLC ",98000.00,Embassy of the Republic of Korea ,5430,201601,South Korea,2016,
"Finn Partners, Inc. ",144000.00,Embassy of the Republic of Korea ,6212,201601,South Korea,2016,
"Harbinger Strategies, LLC ",150000.00,Embassy of the Republic of Korea ,6275,201601,South Korea,2016,
"Nickles Group, LLC ",127800.00,Embassy of the Republic of Korea ,6089,201601,South Korea,2016,
"Pillsbury Winthrop Shaw Pittman, LLP ",230000.00,Embassy of the Republic of Korea ,5198,201601,South Korea,2016,
"Rokk Solutions, LLC ",60000.00,Embassy of the Republic of Korea ,6320,201601,South Korea,2016,
"Thomas Capitol Partners, Inc. ",288000.00,Embassy of the Republic of Korea ,5982,201601,South Korea,2016,
"TwinLogic Strategies, LLP ",125000.00,Embassy of the Republic of Korea ,6276,201601,South Korea,2016,
"BGR Government Affairs, LLC ",168000.00,Embassy of the Republic of Korea ,5430,201602,South Korea,2016,
"Finn Partners, Inc. ",144000.00,Embassy of the Republic of Korea ,6212,201602,South Korea,2016,
"Harbinger Strategies, LLC ",180000.00,Embassy of the Republic of Korea ,6275,201602,South Korea,2016,
"Nickles Group, LLC ",65000.00,Embassy of the Republic of Korea ,6089,201602,South Korea,2016,
"Rokk Solutions, LLC ",120000.00,Embassy of the Republic of Korea ,6320,201602,South Korea,2016,
"Thomas Capitol Partners, Inc. ",300000.00,Embassy of the Republic of Korea ,5982,201602,South Korea,2016,
"TwinLogic Strategies, LLP ",150000.00,Embassy of the Republic of Korea ,6276,201602,South Korea,2016,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",183000.00,Embassy of the Republic of Korea ,3492,201701,South Korea,2017,
"Finn Partners, Inc. ",150000.00,Embassy of the Republic of Korea ,6212,201701,South Korea,2017,
"Harbinger Strategies, LLC ",96000.00,Embassy of the Republic of Korea ,6275,201701,South Korea,2017,
Holland & Knight ,177227.17,Embassy of the Republic of Korea ,3718,201701,South Korea,2017,
"Nickles Group, LLC ",195000.00,Embassy of the Republic of Korea ,6089,201701,South Korea,2017,
"Pillsbury Winthrop Shaw Pittman, LLP ",240000.00,Embassy of the Republic of Korea ,5198,201701,South Korea,2017,
"Rokk Solutions, LLC ",60000.00,Embassy of the Republic of Korea ,6320,201701,South Korea,2017,
"Thomas Capitol Partners, Inc. ",300000.00,Embassy of the Republic of Korea ,5982,201701,South Korea,2017,
"TwinLogic Strategies, LLP ",100000.00,Embassy of the Republic of Korea ,6276,201701,South Korea,2017,
"DiNino Associates, LLC ",42000.00,Embassy of the Republic of Korea ,6408,201702,South Korea,2017,
Holland & Knight ,90000.00,Embassy of the Republic of Korea ,3718,201702,South Korea,2017,
"Nickles Group, LLC ",130000.00,Embassy of the Republic of Korea ,6089,201702,South Korea,2017,
"Pillsbury Winthrop Shaw Pittman, LLP ",150000.00,Embassy of the Republic of Korea ,5198,201702,South Korea,2017,
"Rokk Solutions, LLC ",120000.00,Embassy of the Republic of Korea ,6320,201702,South Korea,2017,
"Thomas Capitol Partners, Inc. ",300000.00,Embassy of the Republic of Korea ,5982,201702,South Korea,2017,
Prime Policy Group ,150000.00,Far East Lines Limited ,6263,201502,South Korea,2015,
"Osaka University, San Francisco Office ",111782.16,Osaka University ,5631,201301,Japan,2013,
"Osaka University, San Francisco Office ",94988.50,Osaka University ,5631,201302,Japan,2013,
"Hill and Knowlton Strategies, LLC ",57274.89,Tokyo Electric Power Company (TEPCO) ,3301,201302,Japan,2013,
"McGuireWoods Consulting, LLC ",77014.61,Consulate General of Japan,6295,201402,Japan,2014,
"Policy Agency, LLC ",5000.00,Consulate General of Japan,6213,201402,Japan,2014,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",250000.00,Embassy of Japan ,3492,201401,Japan,2014,
Friedlander Group ,11200.00,Embassy of Japan ,6097,201401,Japan,2014,
"Parvin, C. Landon ",70000.00,Embassy of Japan ,6194,201401,Japan,2014,
"Podesta Group, Inc. ",90000.00,Embassy of Japan ,5926,201401,Japan,2014,
"Reed, T. Dean ",188000.00,Embassy of Japan ,5044,201401,Japan,2014,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",388000.00,Embassy of Japan ,3492,201402,Japan,2014,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",388000.00,Embassy of Japan ,3492,201402,Japan,2014,
Friedlander Group ,5600.00,Embassy of Japan ,6097,201402,Japan,2014,
Orion Strategies LLC ,29032.00,Embassy of Japan ,5437,201402,Japan,2014,
"Parvin, C. Landon ",70000.00,Embassy of Japan ,6194,201402,Japan,2014,
"Podesta Group, Inc. ",90000.00,Embassy of Japan ,5926,201402,Japan,2014,
"Rasky Baerlein Strategic Communications, Inc. ",90000.00,Embassy of Japan ,6222,201402,Japan,2014,
"Reed, T. Dean ",188000.00,Embassy of Japan ,5044,201402,Japan,2014,
"Sorini, Samet & Associates, LLC ",10000.00,Embassy of Japan ,5839,201402,Japan,2014,
Fukuoka Center for Overseas Commerce in America ,89142.74,Fukuoka Prefectural Government ,5591,201401,Japan,2014,
Fukuoka Center for Overseas Commerce in America ,100950.78,Fukuoka Prefectural Government ,5591,201402,Japan,2014,
"Garvey, Schubert & Barer ",18986.70,Global Guardian Trust ,3047,201401,Japan,2014,
"Garvey, Schubert & Barer ",18976.50,Global Guardian Trust ,3047,201402,Japan,2014,
"Fleishman-Hillard, Inc. ",152057.83,Government of Japan ,5801,201401,Japan,2014,
"Hecht, Spencer & Associates, Inc. ",75000.00,Government of Japan ,5451,201401,Japan,2014,
Hogan Lovells US LLP ,213795.36,Government of Japan ,2244,201401,Japan,2014,
"Hecht, Spencer & Associates, Inc. ",90000.00,Government of Japan ,5451,201402,Japan,2014,
Hogan Lovells US LLP ,341801.21,Government of Japan ,2244,201402,Japan,2014,
Butterfield Carter and Associates ,18339.59,Institute of Cetacean Research ,5398,201401,Japan,2014,
Butterfield Carter and Associates ,18350.00,Institute of Cetacean Research ,5398,201402,Japan,2014,
Maseng Communications ,37939.00,"Japan Automobile Manufacturers' Association, Inc. ",4660,201401,Japan,2014,
Maseng Communications ,29939.00,"Japan Automobile Manufacturers' Association, Inc. ",4660,201402,Japan,2014,
"Global Policy Group, Inc. ",19425.00,Japan External Trade Organization (JETRO) ,5290,201401,Japan,2014,
"JETRO, Atlanta ",178733.00,Japan External Trade Organization (JETRO) ,4069,201401,Japan,2014,
"JETRO, Chicago ",518400.00,Japan External Trade Organization (JETRO) ,1850,201401,Japan,2014,
"JETRO, Houston ",416687.89,Japan External Trade Organization (JETRO) ,2277,201401,Japan,2014,
"JETRO, New York ",8889423.00,Japan External Trade Organization (JETRO) ,1643,201401,Japan,2014,
"JETRO, Los Angeles ",1029700.00,Japan External Trade Organization (JETRO) ,1833,201401,Japan,2014,
"JETRO, San Francisco ",1261800.00,Japan External Trade Organization (JETRO) ,1813,201401,Japan,2014,
"Washington Research & Analysis, LLC ",18000.00,Japan External Trade Organization (JETRO) ,6013,201401,Japan,2014,
"Global Policy Group, Inc. ",20025.00,Japan External Trade Organization (JETRO) ,5290,201402,Japan,2014,
"JETRO, Atlanta ",159138.00,Japan External Trade Organization (JETRO) ,4069,201402,Japan,2014,
"JETRO, Chicago ",1295200.00,Japan External Trade Organization (JETRO) ,1850,201402,Japan,2014,
"JETRO, Houston ",273247.77,Japan External Trade Organization (JETRO) ,2277,201402,Japan,2014,
"JETRO, New York ",5598018.00,Japan External Trade Organization (JETRO) ,1643,201402,Japan,2014,
"JETRO, Los Angeles ",899400.00,Japan External Trade Organization (JETRO) ,1833,201402,Japan,2014,
"JETRO, San Francisco ",1403000.00,Japan External Trade Organization (JETRO) ,1813,201402,Japan,2014,
"MITA Group, Inc. ",50000.00,Japan External Trade Organization (JETRO) ,5741,201402,Japan,2014,
"Washington Research & Analysis, LLC ",22500.00,Japan External Trade Organization (JETRO) ,6013,201402,Japan,2014,
"Hastings, Jay Donald ",19304.26,Japan Fisheries Association ,2867,201401,Japan,2014,
"Hastings, Jay Donald ",18916.69,Japan Fisheries Association ,2867,201402,Japan,2014,
"Japan National Tourism Organization, Los Angeles ",245280.63,Japan National Tourist Organization ,2350,201401,Japan,2014,
Japan National Tourism Organization ,824547.90,Japan National Tourist Organization ,769,201401,Japan,2014,
"Japan National Tourism Organization, Los Angeles ",268987.51,Japan National Tourist Organization ,2350,201402,Japan,2014,
Japan National Tourism Organization ,737368.72,Japan National Tourist Organization ,769,201402,Japan,2014,
"NHK Cosmomedia America, Inc. ",1459308.00,JNG Shareholders Group ,4490,201401,Japan,2014,
"NHK Cosmomedia America, Inc. ",1398480.00,JNG Shareholders Group ,4490,201402,Japan,2014,
Kobe Trade Information Office ,455.99,Kobe Municipal Government ,2438,201401,Japan,2014,
Kobe Trade Information Office ,50088.24,Kobe Municipal Government ,2438,201402,Japan,2014,
Manufactured Imports and Investment Promotion Organization (MIPRO) ,200688.92,Manufactured Imports and Investment Promotion Organization (MIPRO) ,3196,201401,Japan,2014,
Manufactured Imports and Investment Promotion Organization (MIPRO) ,232205.30,Manufactured Imports and Investment Promotion Organization (MIPRO) ,3196,201402,Japan,2014,
"Osaka University, San Francisco Office ",120827.90,Osaka University ,5631,201401,Japan,2014,
"Patton Boggs, LLP ",60000.00,Government of the Republic of Korea ,2165,201202,South Korea,2012,
"JWI, LLC ",34193.55,Government of the Republic of Korea ,4990,201301,South Korea,2013,
"Patton Boggs, LLP ",80000.00,Government of the Republic of Korea ,2165,201301,South Korea,2013,
"JWI, LLC ",80000.00,Government of the Republic of Korea ,4990,201302,South Korea,2013,
"Squire Patton Boggs, LLP ",263870.92,Government of the Republic of Korea ,2165,201302,South Korea,2013,
"Squire Patton Boggs, LLP ",120000.00,Government of the Republic of Korea ,2165,201401,South Korea,2014,
"Osaka University, San Francisco Office ",112769.89,Osaka University ,5631,201402,Japan,2014,
"Hill and Knowlton Strategies, LLC ",22570.43,Tokyo Electric Power Company (TEPCO) ,3301,201402,Japan,2014,
"Policy Agency, LLC ",5000.00,Consulate General of Japan,6213,201501,Japan,2015,
"Marathon Strategies, LLC ",48000.00,Consulate General of Japan,6289,201502,Japan,2015,
"McGuireWoods Consulting, LLC ",10000.00,Consulate General of Japan,6295,201502,Japan,2015,
"Policy Agency, LLC ",5000.00,Consulate General of Japan,6213,201502,Japan,2015,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",384000.00,Embassy of Japan ,3492,201501,Japan,2015,
Friedlander Group ,11200.00,Embassy of Japan ,6097,201501,Japan,2015,
"Global Communicators, LLC ",4000.00,Embassy of Japan ,6243,201501,Japan,2015,
"KP Public Affairs, LLC ",30492.50,Embassy of Japan ,6248,201501,Japan,2015,
Orion Strategies LLC ,169032.00,Embassy of Japan ,5437,201501,Japan,2015,
"Parvin, C. Landon ",70000.00,Embassy of Japan ,6194,201501,Japan,2015,
"Podesta Group, Inc. ",77500.00,Embassy of Japan ,5926,201501,Japan,2015,
"Rasky Baerlein Strategic Communications, Inc. ",180000.00,Embassy of Japan ,6222,201501,Japan,2015,
"Reed, T. Dean ",236905.00,Embassy of Japan ,5044,201501,Japan,2015,
"Sorini, Samet & Associates, LLC ",10000.00,Embassy of Japan ,5839,201501,Japan,2015,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",350000.00,Embassy of Japan ,3492,201502,Japan,2015,
"Daschle Group, LLC ",75000.00,Embassy of Japan ,6280,201502,Japan,2015,
Friedlander Group ,11200.00,Embassy of Japan ,6097,201502,Japan,2015,
"Global Communicators, LLC ",6000.00,Embassy of Japan ,6243,201502,Japan,2015,
"Greenfield & Kress, P.A. ",15000.00,Embassy of Japan ,6294,201502,Japan,2015,
Holland & Knight ,23750.00,Embassy of Japan ,3718,201502,Japan,2015,
"KP Public Affairs, LLC ",120000.00,Embassy of Japan ,6248,201502,Japan,2015,
"Larson Shannahan Slifka Group, LLC ",7500.00,Embassy of Japan ,6282,201502,Japan,2015,
"McGuireWoods Consulting, LLC ",15000.00,Embassy of Japan ,6295,201502,Japan,2015,
Orion Strategies LLC ,240000.00,Embassy of Japan ,5437,201502,Japan,2015,
"Parvin, C. Landon ",70000.00,Embassy of Japan ,6194,201502,Japan,2015,
"Podesta Group, Inc. ",122500.00,Embassy of Japan ,5926,201502,Japan,2015,
"Quinn Thomas Public Affairs, LLC ",15000.00,Embassy of Japan ,6283,201502,Japan,2015,
"Rasky Baerlein Strategic Communications, Inc. ",200000.00,Embassy of Japan ,6222,201502,Japan,2015,
"Reed, T. Dean ",140000.00,Embassy of Japan ,5044,201502,Japan,2015,
"Sorini, Samet & Associates, LLC ",22500.00,Embassy of Japan ,5839,201502,Japan,2015,
"Southwest Strategies, LLC ",30000.00,Embassy of Japan ,6343,201502,Japan,2015,
Fukuoka Center for Overseas Commerce in America ,76646.72,Fukuoka Prefectural Government ,5591,201501,Japan,2015,
Fukuoka Center for Overseas Commerce in America ,101367.05,Fukuoka Prefectural Government ,5591,201502,Japan,2015,
"Garvey, Schubert & Barer ",18946.90,Global Guardian Trust ,3047,201501,Japan,2015,
"Daniel J. Edelman, Inc. ",117308.20,Government of Japan ,3634,201501,Japan,2015,
"Hecht, Latham, Spencer & Associates, Inc. ",90000.00,Government of Japan ,5451,201501,Japan,2015,
Hogan Lovells US LLP ,216895.29,Government of Japan ,2244,201501,Japan,2015,
"Finsbury, LLC ",15989.77,Government of Japan ,6293,201502,Japan,2015,
"Hecht, Latham, Spencer & Associates, Inc. ",97500.00,Government of Japan ,5451,201502,Japan,2015,
Hogan Lovells US LLP ,252038.59,Government of Japan ,2244,201502,Japan,2015,
"McBee Strategic Consulting, LLC ",26476.25,Government of Japan ,6297,201502,Japan,2015,
Butterfield Carter and Associates ,18305.00,Institute of Cetacean Research ,5398,201501,Japan,2015,
Butterfield Carter and Associates ,20402.30,Institute of Cetacean Research ,5398,201502,Japan,2015,
Maseng Communications ,36149.17,"Japan Automobile Manufacturers' Association, Inc. ",4660,201501,Japan,2015,
Maseng Communications ,39228.83,"Japan Automobile Manufacturers' Association, Inc. ",4660,201502,Japan,2015,
"Global Policy Group, Inc. ",20025.00,Japan External Trade Organization (JETRO) ,5290,201501,Japan,2015,
"JETRO, Atlanta ",334624.46,Japan External Trade Organization (JETRO) ,4069,201501,Japan,2015,
"JETRO, Chicago ",520400.00,Japan External Trade Organization (JETRO) ,1850,201501,Japan,2015,
"JETRO, Houston ",413134.09,Japan External Trade Organization (JETRO) ,2277,201501,Japan,2015,
"JETRO, San Francisco ",793400.00,Japan External Trade Organization (JETRO) ,1813,201501,Japan,2015,
"JETRO, New York ",8557997.00,Japan External Trade Organization (JETRO) ,1643,201501,Japan,2015,
"MITA Group, Inc. ",45000.00,Japan External Trade Organization (JETRO) ,5741,201501,Japan,2015,
"Washington Research & Analysis, LLC ",22500.00,Japan External Trade Organization (JETRO) ,6013,201501,Japan,2015,
"Global Policy Group, Inc. ",20025.00,Japan External Trade Organization (JETRO) ,5290,201502,Japan,2015,
"JETRO, Atlanta ",216865.00,Japan External Trade Organization (JETRO) ,4069,201502,Japan,2015,
"JETRO, Chicago ",810000.00,Japan External Trade Organization (JETRO) ,1850,201502,Japan,2015,
"JETRO, Houston ",280172.75,Japan External Trade Organization (JETRO) ,2277,201502,Japan,2015,
"JETRO, New York ",5356413.00,Japan External Trade Organization (JETRO) ,1643,201502,Japan,2015,
"JETRO, Los Angeles ",1184300.00,Japan External Trade Organization (JETRO) ,1833,201502,Japan,2015,
"JETRO, San Francisco ",910400.00,Japan External Trade Organization (JETRO) ,1813,201502,Japan,2015,
"Washington Research & Analysis, LLC ",22500.00,Japan External Trade Organization (JETRO) ,6013,201502,Japan,2015,
"Hastings, Jay Donald ",16795.15,Japan Fisheries Association ,2867,201501,Japan,2015,
"Hastings, Jay Donald ",16071.43,Japan Fisheries Association ,2867,201502,Japan,2015,
"Faegre Baker Daniels, LLP ",13000.00,"Japan Ministry of Agriculture, Fisheries and Forestry ",6269,201501,Japan,2015,
"Faegre Baker Daniels, LLP ",26000.00,"Japan Ministry of Agriculture, Fisheries and Forestry ",6269,201502,Japan,2015,
"Japan National Tourism Organization, Los Angeles ",263269.44,Japan National Tourist Organization ,2350,201501,Japan,2015,
Japan National Tourism Organization ,563464.60,Japan National Tourist Organization ,769,201501,Japan,2015,
"Japan National Tourism Organization, Los Angeles ",254061.87,Japan National Tourist Organization ,2350,201502,Japan,2015,
Japan National Tourism Organization ,566617.40,Japan National Tourist Organization ,769,201502,Japan,2015,
"NHK Cosmomedia America, Inc. ",1447005.00,JNG Shareholders Group ,4490,201501,Japan,2015,
"NHK Cosmomedia America, Inc. ",1395931.00,JNG Shareholders Group ,4490,201502,Japan,2015,
Kobe Trade Information Office ,101164.14,Kobe Municipal Government ,2438,201501,Japan,2015,
Kobe Trade Information Office ,119065.91,Kobe Municipal Government ,2438,201502,Japan,2015,
Manufactured Imports and Investment Promotion Organization (MIPRO) ,213491.04,Manufactured Imports and Investment Promotion Organization (MIPRO) ,3196,201501,Japan,2015,
Manufactured Imports and Investment Promotion Organization (MIPRO) ,209802.97,Manufactured Imports and Investment Promotion Organization (MIPRO) ,3196,201502,Japan,2015,
"Mercury Public Affairs, LLC/dba Mercury/Clark & Weinstock ",109681.65,Okinawa Prefecture Government of Japan,6170,201502,Japan,2015,
"Osaka University, San Francisco Office ",122576.68,Osaka University ,5631,201501,Japan,2015,
"Osaka University, San Francisco Office ",96131.54,Osaka University ,5631,201502,Japan,2015,
"Hill and Knowlton Strategies, LLC ",21705.19,Tokyo Electric Power Company (TEPCO) ,3301,201501,Japan,2015,
"Hill and Knowlton Strategies, LLC ",18231.99,Tokyo Electric Power Company (TEPCO) ,3301,201502,Japan,2015,
"Marathon Strategies, LLC ",72000.00,Consulate General of Japan,6289,201601,Japan,2016,
"McGuireWoods Consulting, LLC ",25000.00,Consulate General of Japan,6295,201601,Japan,2016,
"Policy Agency, LLC ",5000.00,Consulate General of Japan,6213,201601,Japan,2016,
"California Strategies, LLC ",52500.00,Consulate General of Japan,6337,201602,Japan,2016,
"Marathon Strategies, LLC ",60000.00,Consulate General of Japan,6289,201602,Japan,2016,
"McGuireWoods Consulting, LLC ",18000.00,Consulate General of Japan,6295,201602,Japan,2016,
"Policy Agency, LLC ",5000.00,Consulate General of Japan,6213,201602,Japan,2016,
Orion Strategies LLC ,240000.00,Embassy of Japan,5437,201602,Japan,2016,
"Parvin, C. Landon ",72000.00,Embassy of Japan,6194,201602,Japan,2016,
"Podesta Group, Inc. ",95000.00,Embassy of Japan,5926,201602,Japan,2016,
"Sorini, Samet & Associates, LLC ",22500.00,Embassy of Japan,5839,201602,Japan,2016,
"Akin, Gump, Strauss, Hauer & Feld, LLP ",2586607.50,Embassy of Japan ,3492,201601,Japan,2016,
Alignment Government Strategies ,60000.00,Embassy of Japan ,6317,201601,Japan,2016,
"DCI Group AZ, LLC ",90000.00,Embassy of Japan ,6278,201601,Japan,2016,
Friedlander Group ,11200.00,Embassy of Japan ,6097,201601,Japan,2016,
"Greenfield & Kress, P.A. ",50000.00,Embassy of Japan ,6294,201601,Japan,2016,
